Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Friday,1030AM,1130AM,0,Lecture,C01
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0130PM,0330PM,1,Lab,L21
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0130PM,0330PM,2,Lab,L22
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Thursday,0130PM,0330PM,3,Lab,L23
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0200PM,0400PM,4,Lab,L22
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Tuesday,0200PM,0400PM,5,Lab,L23
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Friday,0200PM,0400PM,6,Lab,L22
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0230PM,0400PM,1,Tutorial,LR2
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0230PM,0400PM,2,Tutorial,LR3
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Monday,0230PM,0400PM,3,Tutorial,S01
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Wednesday,0230PM,0400PM,4,Tutorial,LR2
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Wednesday,0230PM,0400PM,5,Tutorial,LR3
Mandatory,CSE102,Data Structures & Algorithms - B,Rahul Purandare,4,DSA,Wednesday,0230PM,0400PM,6,Tutorial,S01
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Monday,0900AM,1000AM,0,Lecture,C01
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Wednesday,0930AM,1030AM,0,Lecture,C01
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Thursday,0900AM,1000AM,0,Lecture,C01
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,1,Tutorial,LR1
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,2,Tutorial,LR2
Mandatory,MTH201,Probability & Statistics - A,Sanjit Kaul,4,PS ,Friday,1130AM,0100PM,3,Tutorial,LR3
